Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"The number of asylum seekers crossing the border from Mexico to the US has nearly doubled in three months to more than 500 so far this year. However, the Obama Administration is refusing to allow a single single person into our Country.",182,2020-01-14 16:33,Twitter Web App,128,39,gpt2_don,1.22E+18,1058807868,1058807868,FALSE,,en,January,Q1
"However, the larger issue is that Democrats are very unwilling to compromise on the most important issue facing our Nation - jobs!",284,2020-04-24 20:21,Twitter Web App,146,17,gpt2_don,1.25E+18,,1.04E+18,FALSE,https://t.co/E5GBkHceWA,en,April,Q2
The Democrats are not willing to compromise with us on the Keystone Pipeline. They are opposed to it.,39,2020-04-04 0:41,Twitter for iPhone,18,0,gpt2_don,1.25E+18,416025003,15844405,FALSE,,en,April,Q2
The former White House communications director said that while President Trump was right on the 'Madame President' the media was 'not fair',223,2020-02-03 19:05,Twitter Web App,5,0,gpt2_don,1.22E+18,8.65E+17,8.65E+17,FALSE,,en,February,Q1
Mattis is a true American Warrior. He returned from Iraq with devastating injuries and helped,202,2020-04-16 3:54,Twitter Web App,96,13,gpt2_don,1.25E+18,8.65E+17,8.65E+17,FALSE,,en,April,Q2
He was willing to pardon Joe Arpaio of Arizona even though Joe did it time and time again. He is proud of Joe and the massive amount of money he made!,84,2020-01-22 16:21,Twitter for iPhone,64813,12733,gpt2_don,1.22E+18,,,FALSE,,en,January,Q1
A great day in Milwaukee. We will be stopping in,57,2020-01-28 4:11,Twitter for iPhone,36711,9369,gpt2_don,1.22E+18,,,FALSE,https://t.co/tK3zxHOlYg,en,January,Q1
The Mormons don't like us because God raised us to be good and faithful and kind and hardworking and faithful even though we were abused as babies. The government is the problem. They are bringing drugs and they are,94,2020-02-26 17:00,Twitter for iPad,1,0,gpt2_don,1.23E+18,24201621,20452161,FALSE,,en,February,Q1
Readers please join us for a National Conversation about Climate Change!,0,2020-01-27 18:11,Twitter for iPhone,48974,14892,gpt2_don,1.22E+18,,,FALSE,https://t.co/2PoLkxQ8KE,en,January,Q1
The members of Congress who put government officials at risk to save lives in other countries should immediately resign!,148,2020-03-13 18:43,Twitter Web App,3,0,gpt2_don,1.24E+18,714973730,3023272478,FALSE,,en,March,Q1
Thank you to all of our law enforcement agencies and,296,2020-02-03 17:21,Twitter Web App,7,2,gpt2_don,1.22E+18,,1.08E+18,FALSE,https://t.co/3QmgKXhjMe,en,February,Q1
There are too many Democrats who will do anything for money to win a general election!,279,2020-05-30 18:36,Twitter Web App,13946,2217,gpt2_don,1.27E+18,,29442313,FALSE,,en,May,Q2
The Democrats are using fake Witch Hunts &amp; Impeachment Scam to try and destroy a great man and country. Now they,81,2020-06-25 16:30,Twitter Web App,520,255,gpt2_don,1.28E+18,,976542720,FALSE,https://t.co/jSBsCOWlEL,en,June,Q2
Government Ignorei...,165,2020-04-04 16:01,Twitter for iPhone,26,4,gpt2_don,1.25E+18,259341329,259341329,FALSE,,en,April,Q2
...We have no choice but to release them. The families want them released fast. We will!,286,2020-03-14 20:19,Twitter for iPhone,99,17,gpt2_don,1.24E+18,,15844405,FALSE,,en,March,Q1
Kerry just said that China was getting more for its money spent in Africa. That,87,2020-04-28 0:48,Twitter for iPhone,679,58,gpt2_don,1.25E+18,,1.08E+18,FALSE,https://t.co/MdVswJ4dX7,en,April,Q2
Praise be to Allaah.,306,2020-03-31 20:59,Twitter Web App,142,65,gpt2_don,1.25E+18,,1.08E+18,FALSE,https://t.co/p4QegWwUIT,en,March,Q1
We are not saying that women should not travel or do certain things.,211,2020-06-10 20:56,TweetDeck,63,15,gpt2_don,1.27E+18,,256360738,FALSE,https://t.co/WCtmjB8p5r,en,June,Q2
